price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,price_category,description_len
54990,2020.0,ram,good,0,diesel,27442.0,clean,other,4wd,other,pickup,silver,tn,35.0,-85.0,high,4482
16942,2016.0,ford,other,6,other,60023.0,clean,automatic,4wd,other,SUV,black,nj,41.0,-74.0,medium,968
35590,2017.0,volkswagen,good,0,gas,14048.0,clean,other,other,other,sedan,other,ca,34.0,-84.0,high,4286
14500,2013.0,toyota,other,0,gas,117291.0,clean,automatic,fwd,other,wagon,white,nc,36.0,-79.0,medium,3241
21800,2021.0,nissan,new,4,gas,8000.0,clean,automatic,other,other,other,other,ny,41.0,-74.0,medium,538
14590,2012.0,bmw,good,0,other,80465.0,clean,other,other,other,coupe,black,tn,36.0,-84.0,medium,4851
6700,2015.0,ford,good,4,gas,149000.0,clean,automatic,fwd,other,other,other,ia,41.0,-94.0,low,344
3990,2003.0,honda,other,0,gas,145087.0,clean,automatic,other,other,other,white,va,37.0,-80.0,low,1533
14000,2014.0,dodge,other,0,gas,94535.0,clean,automatic,rwd,full-size,sedan,other,mi,43.0,-86.0,medium,1823
10000,2016.0,nissan,excellent,4,gas,87000.0,clean,automatic,fwd,other,sedan,silver,ia,41.0,-96.0,medium,43
4000,2009.0,mitsubishi,excellent,4,gas,130000.0,clean,automatic,fwd,full-size,sedan,blue,ri,42.0,-71.0,low,93
4995,2012.0,fiat,excellent,4,gas,59242.0,other,manual,other,other,hatchback,other,oh,39.0,-85.0,low,5085
7000,2007.0,lincoln,good,8,gas,196000.0,clean,automatic,rwd,full-size,other,white,fl,30.0,-82.0,low,35
14995,1994.0,ford,other,8,gas,156925.0,clean,automatic,rwd,other,van,blue,wa,45.0,-123.0,medium,2874
13995,2016.0,dodge,like new,6,gas,73562.0,clean,automatic,fwd,full-size,mini-van,white,ca,41.0,-122.0,medium,342
28500,2004.0,chevrolet,excellent,8,diesel,113000.0,clean,automatic,4wd,full-size,pickup,white,hi,22.0,-158.0,high,507
26995,2014.0,ford,other,8,gas,72349.0,clean,automatic,rwd,other,other,white,ks,39.0,-97.0,high,2367
20998,2017.0,nissan,other,0,gas,73135.0,clean,automatic,fwd,other,sedan,other,mt,48.0,-117.0,medium,3952
14999,2013.0,honda,other,4,gas,136142.0,clean,manual,fwd,other,sedan,other,ca,37.0,-120.0,medium,3666
1000,2010.0,ford,other,0,gas,0.0,clean,automatic,other,other,other,other,sc,33.0,-80.0,low,327
3200,2005.0,saturn,good,6,gas,108000.0,clean,automatic,fwd,mid-size,SUV,blue,ca,34.0,-117.0,low,487
89995,1970.0,other,excellent,8,gas,111111.0,clean,automatic,rwd,full-size,convertible,white,wi,43.0,-89.0,high,1129
49999,2018.0,chevrolet,excellent,8,gas,33000.0,clean,automatic,rwd,full-size,SUV,white,ca,38.0,-121.0,high,230
22995,2000.0,ford,good,8,diesel,200000.0,clean,automatic,other,other,other,other,nj,40.0,-75.0,high,391
10995,2008.0,ford,good,8,gas,110310.0,clean,automatic,rwd,full-size,pickup,red,az,34.0,-112.0,medium,673
